                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.59337,                0.70408,                0.49631,                0.94396,                0.86185,                0.81944,                0.84056,                0.67063,                0.85858,                0.81636,                0.82241,                0.62971,                0.91154,                 1.9964,                0.93243,                 1.1565,              0.0015847,              0.0015847,              0.0015847
                     88,                0.58066,                0.77789,                0.49629,                 0.9482,                0.79663,                0.74646,                0.79481,                0.60159,                0.76762,                0.71915,                0.76328,                0.57608,                0.93997,                 2.6078,                 1.1231,                 1.1892,              0.0015829,              0.0015829,              0.0015829
                     89,                0.58486,                0.75495,                0.50782,                 0.9635,                0.88114,                0.68375,                0.79634,                 0.6078,                0.84416,                0.65799,                0.76314,                0.58757,                0.91035,                 2.5851,                 1.0932,                 1.1455,              0.0015809,              0.0015809,              0.0015809
                     90,                0.56086,                0.78761,                0.50619,                0.93815,                0.87186,                0.78819,                0.82707,                0.62363,                0.84187,                0.76042,                0.81555,                0.61326,                0.83261,                 2.4362,                0.84541,                 1.1239,               0.001579,               0.001579,               0.001579
                     91,                0.57351,                0.78013,                0.48905,                0.95063,                0.92528,                0.77305,                0.82848,                0.61924,                0.80598,                0.78967,                0.78367,                0.57386,                0.85258,                 2.2646,                0.78723,                 1.1619,              0.0015771,              0.0015771,              0.0015771
                     92,                0.53841,                0.69019,                0.46696,                0.92322,                 0.9244,                0.78629,                0.83532,                0.62652,                0.93742,                0.78871,                0.83271,                0.59715,                0.89313,                 2.3151,                0.76358,                 1.1284,              0.0015751,              0.0015751,              0.0015751
                     93,                0.58101,                0.75804,                 0.4914,                0.95421,                0.88085,                0.75694,                0.76313,                0.58923,                0.92127,                0.79167,                0.82779,                0.58181,                0.97897,                 2.2845,                0.84315,                 1.2163,              0.0015731,              0.0015731,              0.0015731
                     94,                0.53713,                0.69525,                0.45782,                0.94542,                0.88516,                0.77229,                0.82028,                0.57539,                0.89248,                0.77576,                0.81545,                0.60102,                0.96996,                 2.5652,                0.92008,                 1.1937,              0.0015711,              0.0015711,              0.0015711
                     95,                0.56992,                 0.7993,                0.47383,                0.94137,                 0.8854,                0.74474,                0.78446,                0.57119,                 0.8955,                0.74745,                0.78432,                0.58307,                0.96639,                 2.6628,                0.91059,                 1.1968,              0.0015691,              0.0015691,              0.0015691
                     96,                0.59105,                 0.7648,                0.48417,                0.95457,                0.82907,                0.78089,                0.78713,                0.59417,                0.82999,                0.78402,                0.77943,                0.61446,                0.95051,                 2.5538,                 0.9469,                 1.1777,               0.001567,               0.001567,               0.001567
                     97,                  0.564,                0.77139,                0.46047,                 0.9513,                0.82041,                 0.7127,                0.79994,                   0.59,                0.79958,                0.73611,                0.78106,                0.61319,                0.91097,                 2.3673,                0.89398,                 1.1338,              0.0015649,              0.0015649,              0.0015649
                     98,                0.57621,                0.73572,                0.48546,                0.94715,                0.80642,                0.81944,                0.81028,                0.60074,                0.80747,                0.82292,                0.81442,                0.61545,                0.93598,                 2.4751,                 0.9182,                  1.135,              0.0015628,              0.0015628,              0.0015628
                     99,                0.54197,                0.67244,                0.46093,                0.94821,                0.75831,                0.83579,                0.80303,                0.58047,                0.73209,                 0.8086,                0.78348,                  0.602,                0.93292,                 2.3929,                0.94269,                 1.1607,              0.0015607,              0.0015607,              0.0015607
                    100,                0.57434,                0.71168,                  0.487,                0.95209,                0.76399,                0.72569,                0.73846,                 0.5091,                0.83362,                0.79167,                0.80853,                0.56373,                 1.1044,                 2.7306,                 1.0877,                 1.2934,              0.0015586,              0.0015586,              0.0015586
                    101,                0.60994,                0.91398,                0.51091,                0.97219,                0.80499,                0.74631,                0.75003,                0.53949,                0.91171,                0.79167,                0.81004,                 0.5701,                0.98312,                 2.7875,                  0.941,                 1.2427,              0.0015564,              0.0015564,              0.0015564
                    102,                0.56695,                0.79906,                0.48839,                0.94868,                0.80835,                0.72917,                0.74362,                0.57363,                0.88088,                0.79167,                0.82138,                 0.5628,                0.94089,                 2.3825,                0.96168,                 1.2375,              0.0015543,              0.0015543,              0.0015543
                    103,                0.59156,                0.74676,                0.48279,                0.95972,                0.85585,                0.72569,                0.73745,                0.53217,                0.94429,                0.78819,                0.79933,                0.55645,                0.94221,                 2.4301,                0.99446,                 1.2297,              0.0015521,              0.0015521,              0.0015521
                    104,                0.59018,                0.78507,                0.47761,                0.93704,                0.85718,                0.72569,                0.74581,                0.56978,                0.94576,                0.78819,                 0.7886,                0.54887,                0.86627,                 2.3067,                 1.1171,                 1.1859,              0.0015499,              0.0015499,              0.0015499
