                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.75657,                0.56163,                 1.0358,                0.88278,                0.89829,                 0.9365,                0.76911,                0.75248,                0.50222,                0.98641,              0.0082052,              0.0082052,              0.0082052
                     86,                0.75923,                 0.5609,                 1.0421,                 0.9158,                0.89228,                 0.9336,                0.76142,                0.78049,                0.50638,                  1.028,              0.0081651,              0.0081651,              0.0081651
                     87,                0.74787,                0.56296,                 1.0419,                0.90372,                 0.8965,                0.93229,                0.77233,                0.71543,                0.50804,                0.98834,              0.0081247,              0.0081247,              0.0081247
                     88,                0.74405,                0.56611,                 1.0308,                 0.9088,                0.90395,                 0.9369,                0.76403,                0.73602,                0.49947,                0.99934,              0.0080839,              0.0080839,              0.0080839
                     89,                0.73713,                0.55827,                 1.0255,                0.92526,                0.88947,                0.93954,                0.78112,                0.70393,                0.50162,                0.97973,              0.0080428,              0.0080428,              0.0080428
                     90,                0.73479,                0.54515,                 1.0247,                 0.8783,                0.91735,                0.93801,                0.76663,                0.74866,                0.52578,                0.98725,              0.0080013,              0.0080013,              0.0080013
                     91,                0.73969,                0.56473,                 1.0377,                0.89195,                0.87274,                0.92956,                0.76065,                0.78648,                0.49293,                 1.0309,              0.0079595,              0.0079595,              0.0079595
                     92,                0.72133,                0.55278,                 1.0299,                0.92704,                0.87187,                0.92745,                0.76429,                0.76767,                0.50318,                 1.0247,              0.0079174,              0.0079174,              0.0079174
                     93,                0.73262,                0.55348,                 1.0303,                0.88861,                0.91088,                0.93734,                0.77129,                0.77015,                0.49402,                 1.0206,               0.007875,               0.007875,               0.007875
                     94,                0.72599,                0.53032,                 1.0227,                0.90534,                0.86765,                0.92559,                0.76712,                 0.7562,                 0.5211,                 1.0227,              0.0078323,              0.0078323,              0.0078323
                     95,                0.71707,                0.53985,                 1.0197,                0.87015,                0.90947,                0.91665,                0.76288,                0.75817,                0.52257,                 1.0316,              0.0077893,              0.0077893,              0.0077893
                     96,                0.72154,                0.52965,                 1.0265,                0.92205,                0.88256,                0.94233,                0.77065,                 0.7805,                0.50965,                 1.0407,               0.007746,               0.007746,               0.007746
                     97,                0.71788,                0.53755,                 1.0287,                0.89205,                0.90239,                0.93784,                0.77492,                  0.736,                0.51356,                0.98852,              0.0077023,              0.0077023,              0.0077023
                     98,                0.71474,                0.53627,                 1.0169,                0.89644,                0.90543,                0.93865,                0.77613,                0.73571,                0.48547,                0.97961,              0.0076584,              0.0076584,              0.0076584
